Fecha,Hora,Producto,ISIN,Bolsa de referencia,Centro de ejecución,Número,Precio,,Valor local,,Valor EUR,Tipo de cambio,Comisión AutoFX,Costes de transacción y/o externos EUR,Total EUR,ID Orden
30-10-2025,14:48,VIDRALA SA,ES06837469D8,MAD,,14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
30-10-2025,14:48,VIDRALA - NON TRADEABLE,ES06837469D8,DEG,,-14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
30-10-2025,14:30,ADR ON NOVO NORDISK A/S,US6701002056,NSY,XNYS,21,"49,6100",USD,"-1041,81",USD,"-900,52","1,1569","-2,25",,"-902,78",63c8ad7e-e352-42c8-af79-60b180e99f34
30-10-2025,14:30,ADR ON NOVO NORDISK A/S,US6701002056,NSY,XNYS,1,"49,6100",USD,"-49,61",USD,"-42,88","1,1569","-0,11","-2,00","-44,99",63c8ad7e-e352-42c8-af79-60b180e99f34
30-10-2025,14:30,KRAFT HEINZ CO,US5007541064,NDQ,XNAS,47,"24,3000",USD,"-1142,10",USD,"-987,21","1,1569","-2,47","-2,00","-991,68",f4200ebf-9871-4b87-89cb-c09a88392e4b
30-10-2025,00:00,VIDRALA - NON TRADEABLE,ES06837469D8,DEG,,14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
29-10-2025,15:08,TELEFONICA SA,ES0178430E18,MAD,MESI,-246,"4,5100",EUR,"1109,46",EUR,"1109,46",,"0,00","-2,00","1107,46",b587cfc8-06db-4d40-bdbf-534e9e1bee51
15-10-2025,09:00,VISCOFAN SA,ES0184262212,MAD,XMAD,11,"51,4000",EUR,"-565,40",EUR,"-565,40",,"0,00","-2,00","-567,40",867af894-b3f8-4b8c-89b9-0159200a940d
06-10-2025,15:32,PFIZER INC.,US7170811035,NSY,XNYS,-15,"27,2000",USD,"408,00",USD,"349,17","1,1685","-0,87","-2,00","346,29",ebfa646c-1021-4846-bd41-e80693b41dfb
06-10-2025,15:31,AT&T INC,US00206R1023,NSY,XNYS,-36,"26,5000",USD,"954,00",USD,"816,30","1,1687","-2,04","-2,00","812,26",b6a64c64-42c7-4ca1-bd1b-41c1edfd0c75
04-09-2025,09:00,PETS AT HOME GROUP PLC,GB00BJ62K685,LSE,XLON,386,"226,0000",GBX,"-87236,00",GBX,"-1005,95","86,7197","-2,51","-4,90","-1013,37",b3f3a436-9913-468a-9e6f-599782fffdcd
21-08-2025,15:30,ADR ON NOVO NORDISK A/S,US6701002056,NSY,XNYS,12,"54,7500",USD,"-657,00",USD,"-564,15","1,1646","-1,41","-2,00","-567,56",91e3583c-91c2-4be1-8d49-263df84a4b2f
24-07-2025,08:29,ACS CONST. - NON TRADEABLE,ES0167050287,DEG,,-1,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
24-07-2025,08:29,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA,ES0167050915,MAD,,1,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
23-07-2025,16:42,BRISTOL-MYERS SQUIBB COMPANY,US1101221083,NSY,CDED,10,"48,8700",USD,"-488,70",USD,"-416,52","1,1733","-1,04","-2,00","-419,56",f1998f9e-3471-425a-b58d-c9b44204c4b5
22-07-2025,00:00,ACS CONST. - NON TRADEABLE,ES0167050287,DEG,,1,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
22-07-2025,00:00,ACS ACTIVIDADES DE CONST-RTS,ES06670509R1,MAD,,-35,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
16-07-2025,10:31,ACS ACTIVIDADES DE CONST-RTS - NON TRADEABLE,ES06670509R1,DEG,,-24,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
09-07-2025,15:30,MOLSON COORS BEVERAGE CO CLASS B,US60871R2094,NSY,XNYS,12,"49,3600",USD,"-592,32",USD,"-505,65","1,1714","-1,26","-2,00","-508,92",be7f350b-70aa-489d-b5bd-cca3826028b1
01-07-2025,00:00,ACS ACTIVIDADES DE CONST-RTS - NON TRADEABLE,ES06670509R1,DEG,,24,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
01-07-2025,00:00,ACS ACTIVIDADES DE CONST-RTS,ES06670509R1,MAD,,-24,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
01-07-2025,00:00,ACS ACTIVIDADES DE CONST-RTS,ES06670509R1,MAD,,59,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
11-06-2025,09:42,VISCOFAN SA-RTS - NON TRADEABLE,ES0684262936,DEG,,-9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
30-05-2025,16:31,"ALEXANDRIA REAL ESTATE EQUITIES, INC",US0152711091,NSY,CDED,8,"70,9700",USD,"-567,76",USD,"-501,03","1,1332","-1,25","-2,00","-504,28",3dd5967c-04fb-4dcd-a486-141eac5dd5f4
